alpha,beta,seed,variant,C,P,generalization_score,sample_recall_score
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,1.930529236793518,1,B,4,32,0.71484375,0.859375
1.0,1.881880760192871,2,B,4,32,0.7421875,0.8203125
1.0,1.920830488204956,3,B,4,32,0.6015625,0.81640625
1.0,1.947300672531128,4,B,4,32,0.6953125,0.83984375
5.0,1.8549797534942627,0,B,4,160,0.75,0.67578125
5.0,1.8503700494766235,1,B,4,160,0.79296875,0.69921875
5.0,1.86539888381958,2,B,4,160,0.72265625,0.67578125
5.0,1.813424825668335,3,B,4,160,0.796875,0.6796875
5.0,1.8513003587722778,4,B,4,160,0.82421875,0.73828125
10.0,1.8422821760177612,0,B,4,320,0.83984375,0.66015625
10.0,1.8247923851013184,1,B,4,320,0.78515625,0.62109375
10.0,1.8835735321044922,2,B,4,320,0.77734375,0.609375
10.0,1.8561125993728638,3,B,4,320,0.79296875,0.640625
10.0,1.8573626279830933,4,B,4,320,0.828125,0.61328125
20.0,1.8210804462432861,0,B,4,640,0.83203125,0.68359375
20.0,1.880900263786316,1,B,4,640,0.8046875,0.640625
20.0,1.8545169830322266,2,B,4,640,0.8203125,0.68359375
20.0,1.8315120935440063,3,B,4,640,0.8046875,0.6328125
20.0,1.8656858205795288,4,B,4,640,0.88671875,0.58984375
50.0,1.8515230417251587,0,B,4,1600,0.79296875,0.62890625
50.0,1.8879584074020386,1,B,4,1600,0.84375,0.63671875
50.0,1.8561292886734009,2,B,4,1600,0.84765625,0.6171875
50.0,1.856610894203186,3,B,4,1600,0.7734375,0.5703125
50.0,1.8502579927444458,4,B,4,1600,0.7734375,0.65234375
1.0,1.8353114128112793,0,B,8,32,0.50390625,0.76953125
1.0,1.8191804885864258,1,B,8,32,0.68359375,0.7734375
1.0,1.8290386199951172,2,B,8,32,0.6484375,0.78125
1.0,1.8497101068496704,3,B,8,32,0.5546875,0.875
1.0,1.8655266761779785,4,B,8,32,0.6328125,0.78515625
5.0,1.782800555229187,0,B,8,160,0.75390625,0.671875
5.0,1.7335102558135986,1,B,8,160,0.7265625,0.6328125
5.0,1.773836374282837,2,B,8,160,0.734375,0.67578125
5.0,1.7681033611297607,3,B,8,160,0.65625,0.6640625
5.0,1.7373014688491821,4,B,8,160,0.73828125,0.671875
10.0,1.745672345161438,0,B,8,320,0.68359375,0.62109375
10.0,1.6836856603622437,1,B,8,320,0.7109375,0.61328125
10.0,1.746342420578003,2,B,8,320,0.74609375,0.62890625
10.0,1.7522121667861938,3,B,8,320,0.71875,0.60546875
10.0,1.7758994102478027,4,B,8,320,0.71875,0.6328125
20.0,1.705057144165039,0,B,8,640,0.7265625,0.625
20.0,1.7096275091171265,1,B,8,640,0.69140625,0.62890625
20.0,1.742757797241211,2,B,8,640,0.82421875,0.6328125
20.0,1.7414624691009521,3,B,8,640,0.79296875,0.6015625
20.0,1.698131799697876,4,B,8,640,0.73046875,0.65234375
50.0,1.7423202991485596,0,B,8,1600,0.7734375,0.61328125
50.0,1.7571384906768799,1,B,8,1600,0.78125,0.6171875
50.0,1.7814195156097412,2,B,8,1600,0.83984375,0.59765625
50.0,1.723326563835144,3,B,8,1600,0.76953125,0.62109375
50.0,1.749798059463501,4,B,8,1600,0.8203125,0.58203125
1.0,1.7713555097579956,0,B,16,32,0.51953125,0.82421875
1.0,1.7179542779922485,1,B,16,32,0.39453125,0.8046875
1.0,1.795811653137207,2,B,16,32,0.33984375,0.89453125
1.0,1.7721723318099976,3,B,16,32,0.48828125,0.8203125
1.0,1.7928810119628906,4,B,16,32,0.41015625,0.80859375
5.0,1.6299854516983032,0,B,16,160,0.49609375,0.68359375
5.0,1.6862890720367432,1,B,16,160,0.51953125,0.61328125
5.0,1.6610221862792969,2,B,16,160,0.6484375,0.63671875
5.0,1.6487176418304443,3,B,16,160,0.55078125,0.62109375
5.0,1.6450704336166382,4,B,16,160,0.5546875,0.6171875
10.0,1.630426049232483,0,B,16,320,0.56640625,0.5859375
10.0,1.6493388414382935,1,B,16,320,0.5703125,0.54296875
10.0,1.6381330490112305,2,B,16,320,0.48046875,0.56640625
10.0,1.6278306245803833,3,B,16,320,0.484375,0.62109375
10.0,1.6253265142440796,4,B,16,320,0.48046875,0.578125
20.0,1.6762958765029907,0,B,16,640,0.578125,0.53515625
20.0,1.6629366874694824,1,B,16,640,0.57421875,0.609375
20.0,1.6456161737442017,2,B,16,640,0.67578125,0.71484375
20.0,1.6289489269256592,3,B,16,640,0.54296875,0.56640625
20.0,1.6360169649124146,4,B,16,640,0.58984375,0.53125
50.0,1.6567870378494263,0,B,16,1600,0.5859375,0.6328125
50.0,1.6122158765792847,1,B,16,1600,0.51953125,0.53515625
50.0,1.6168198585510254,2,B,16,1600,0.53125,0.69921875
50.0,1.6882047653198242,3,B,16,1600,0.5703125,0.5390625
50.0,1.6744029521942139,4,B,16,1600,0.66796875,0.57421875
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,1.9197882413864136,0,B,4,32,0.62890625,0.84375
1.0,1.930529236793518,1,B,4,32,0.71484375,0.859375
1.0,1.881880760192871,2,B,4,32,0.7421875,0.8203125
1.0,1.920830488204956,3,B,4,32,0.6015625,0.81640625
1.0,1.947300672531128,4,B,4,32,0.6953125,0.83984375
5.0,1.8549797534942627,0,B,4,160,0.75,0.67578125
5.0,1.8503700494766235,1,B,4,160,0.79296875,0.69921875
5.0,1.86539888381958,2,B,4,160,0.72265625,0.67578125
5.0,1.813424825668335,3,B,4,160,0.796875,0.6796875
5.0,1.8513003587722778,4,B,4,160,0.82421875,0.73828125
10.0,1.8422821760177612,0,B,4,320,0.83984375,0.66015625
10.0,1.8247923851013184,1,B,4,320,0.78515625,0.62109375
10.0,1.8835735321044922,2,B,4,320,0.77734375,0.609375
10.0,1.8561125993728638,3,B,4,320,0.79296875,0.640625
10.0,1.8573626279830933,4,B,4,320,0.828125,0.61328125
20.0,1.8210804462432861,0,B,4,640,0.83203125,0.68359375
20.0,1.880900263786316,1,B,4,640,0.8046875,0.640625
20.0,1.8545169830322266,2,B,4,640,0.8203125,0.68359375
20.0,1.8315120935440063,3,B,4,640,0.8046875,0.6328125
20.0,1.8656858205795288,4,B,4,640,0.88671875,0.58984375
50.0,1.8515230417251587,0,B,4,1600,0.79296875,0.62890625
50.0,1.8879584074020386,1,B,4,1600,0.84375,0.63671875
50.0,1.8561292886734009,2,B,4,1600,0.84765625,0.6171875
50.0,1.856610894203186,3,B,4,1600,0.7734375,0.5703125
50.0,1.8502579927444458,4,B,4,1600,0.7734375,0.65234375
1.0,1.8353114128112793,0,B,8,32,0.50390625,0.76953125
1.0,1.8191804885864258,1,B,8,32,0.68359375,0.7734375
1.0,1.8290386199951172,2,B,8,32,0.6484375,0.78125
1.0,1.8497101068496704,3,B,8,32,0.5546875,0.875
1.0,1.8655266761779785,4,B,8,32,0.6328125,0.78515625
5.0,1.782800555229187,0,B,8,160,0.75390625,0.671875
5.0,1.7335102558135986,1,B,8,160,0.7265625,0.6328125
5.0,1.773836374282837,2,B,8,160,0.734375,0.67578125
5.0,1.7681033611297607,3,B,8,160,0.65625,0.6640625
5.0,1.7373014688491821,4,B,8,160,0.73828125,0.671875
10.0,1.745672345161438,0,B,8,320,0.68359375,0.62109375
10.0,1.6836856603622437,1,B,8,320,0.7109375,0.61328125
10.0,1.746342420578003,2,B,8,320,0.74609375,0.62890625
10.0,1.7522121667861938,3,B,8,320,0.71875,0.60546875
10.0,1.7758994102478027,4,B,8,320,0.71875,0.6328125
20.0,1.705057144165039,0,B,8,640,0.7265625,0.625
20.0,1.7096275091171265,1,B,8,640,0.69140625,0.62890625
20.0,1.742757797241211,2,B,8,640,0.82421875,0.6328125
